Road-user category,Persons killed 2022,Persons killed 2023,% Change 2023 over 2022
Pedestrian,"32,825","35,221",7.3
share in Total,19.5,20.4,
Bicycles,"4,836","4,560",-5.71
share in Total,2.9,2.6,
Two-wheelers,"74,897","77,539",3.53
share in Total,44.5,44.8,
Auto-Rickshaws,"6,596","6,308",-4.37
share in Total,3.9,3.6,
"Cars, Taxis, Vans & LMVs","21,040","21,496",2.17
share in Total,12.5,12.4,
Trucks/Lorries,"10,584","10,066",-4.89
share in Total,6.3,5.8,
Buses,"4,004","3,956",-1.2
share in Total,2.4,2.3,
Other Non- Motor Vehicles (including e-rickshaw),"2,372","2,006",-15.43
share in Total,1.4,1.2,
"Others (other motor vehicles, animals drawn vehicle, cycle rickshaws, hand carts, & other persons)","11,337","11,738",3.54
share in Total,6.7,6.8,
Total,"1,68,491","1,72,890",
